study_hours,attendance,previous_score,sleep_hours,assignment_completion,extracurricular,final_score
4.37,59.26,54.39,7.36,74.32,0,61.39
9.56,77.1,53.58,7.98,88.33,1,85.4
7.59,93.65,89.84,5.25,85.61,0,89.68
6.39,86.61,53.73,7.12,49.23,1,65.84
2.4,90.33,54.96,6.86,48.95,1,59.18
2.4,82.94,81.77,8.16,56.09,0,69.63
1.52,84.61,64.74,8.53,61.66,1,59.29
8.8,92.46,82.72,4.06,64.51,1,87.39
6.41,62.48,43.6,7.37,80.78,0,65.96
7.37,74.47,66.82,4.26,43.4,0,62.92
1.19,61.06,41.85,6.74,42.08,0,47.87
9.73,99.38,43.45,5.44,63.51,0,79.95
8.49,97.2,89.85,5.53,81.83,1,95.6
2.91,51.97,47.66,5.76,51.61,0,49.44
2.64,85.28,69.28,7.11,78.49,0,72.69
2.65,96.26,62.61,5.67,55.59,0,67.36
3.74,59.03,59.1,7.66,93.17,0,68.54
5.72,78.4,89.49,6.02,93.74,0,81.1
4.89,95.77,41.2,4.34,57.84,1,64.09
3.62,51.7,76.51,7.92,53.8,0,70.9
6.51,84.87,92.99,5.43,64.68,1,83.24
2.26,64.87,70.81,6.16,54.43,0,69.2
3.63,96.22,91.53,7.43,80.34,0,81.44
4.3,98.55,42.87,5.66,89.56,0,67.52
5.1,97.21,63.03,4.28,80.39,0,70.06
8.07,73.71,54.31,5.87,89.46,0,77.03
2.8,93.1,80.2,8.72,63.82,0,69.37
5.63,92.23,93.97,7.21,49.38,0,81.44
6.33,65.96,54.11,7.36,84.28,0,67.27
1.42,91.45,75.98,7.16,61.63,1,70.95
6.47,51.85,50.9,4.99,80.28,0,67.86
2.53,79.81,71.09,6.09,56.24,1,69.34
1.59,61.5,65.52,7.75,44.87,0,48.07
9.54,56.03,93.46,4.51,99.55,1,99.63
9.69,53.85,73.47,5.39,49.37,0,77.38
8.28,84.81,59.22,5.38,99.31,0,78.24
3.74,66.99,46.28,6.16,98.64,0,63.61
1.88,86.24,48.32,8.9,87.63,1,68.06
7.16,53.27,52.39,4.34,79.57,1,64.66
4.96,65.76,53.8,6.59,74.67,1,68.27
2.1,76.97,86.78,4.9,91.97,1,71.73
5.46,89.54,70.87,8.85,57.37,0,76.62
1.31,65.94,68.79,4.57,68.06,0,54.85
9.18,81.29,46.31,6.02,77.16,0,70.3
3.33,94.3,87.31,7.69,64.67,1,81.56
6.96,80.79,79.75,7.52,65.65,0,84.95
3.81,61.65,43.72,6.11,59.82,1,59.35
5.68,51.22,78.93,5.73,73.85,1,77.03
5.92,93.5,69.89,5.99,91.03,1,83.9
2.66,51.06,44.49,5.32,52.09,1,48.11
9.73,93.74,65.21,5.03,96.07,1,93.19
7.98,76.45,66.66,6.42,81.35,0,74.95
9.46,96.95,49.12,5.34,89.4,1,80.04
9.05,89.94,92.01,5.44,73.37,1,90.13
6.38,99.9,86.75,7.28,86.77,0,94.56
9.3,67.54,76.8,8.84,40.97,1,88.81
1.8,88.36,65.43,7.02,89.1,1,72.9
2.76,70.1,62.65,4.38,42.41,0,60.08
1.41,73.99,75.8,4.38,93.39,0,61.91
3.93,81.38,70.0,8.76,99.52,0,80.05
4.5,93.68,43.43,5.49,57.64,1,63.56
3.44,99.2,68.19,4.46,52.62,0,70.28
8.46,88.41,84.35,7.0,85.92,0,91.27
4.21,70.89,65.26,7.12,55.18,0,64.96
3.53,71.07,42.86,7.24,91.93,1,66.85
5.88,86.88,83.25,5.34,46.17,0,79.66
2.27,61.94,51.08,4.08,47.56,1,48.51
8.22,55.52,54.22,8.83,98.75,1,80.44
1.67,67.73,49.06,5.25,80.43,0,50.61
9.88,64.36,58.16,7.38,90.81,1,74.63
7.95,64.82,81.62,7.53,59.46,1,84.43
2.79,61.68,68.57,7.05,80.59,0,68.4
1.05,52.1,51.27,5.56,75.65,1,53.73
8.34,50.89,88.28,5.36,76.19,0,73.59
7.36,99.39,88.38,6.99,80.95,1,92.44
7.56,71.39,87.88,8.33,74.52,1,80.74
7.94,69.22,53.13,8.73,65.74,0,80.73
1.67,83.98,64.82,4.53,56.56,0,54.58
4.23,60.91,94.17,4.77,86.11,1,82.81
2.04,97.5,82.46,8.72,53.58,1,80.37
8.77,89.32,41.49,7.68,81.54,0,74.46
6.61,54.47,43.59,8.41,54.0,1,60.86
3.98,70.88,65.52,5.01,77.52,1,69.6
1.57,93.96,90.01,6.94,84.82,1,75.98
3.8,97.24,69.63,7.51,53.12,1,74.95
3.93,73.37,67.38,7.4,43.6,0,63.78
7.57,80.67,45.8,6.04,47.86,0,60.2
6.74,58.35,76.12,4.08,76.36,0,63.81
8.98,99.56,85.22,6.91,90.97,0,97.12
5.25,61.58,60.92,5.27,42.7,0,58.82
2.08,97.14,82.66,6.25,84.05,0,73.32
7.42,82.48,93.05,8.79,60.48,1,94.65
7.85,80.39,51.21,6.0,68.71,0,77.61
6.05,75.63,68.78,8.2,95.73,1,81.9
7.94,61.53,55.79,4.94,59.92,1,68.72
5.44,58.83,83.61,7.36,67.92,1,79.87
5.7,61.02,71.77,8.89,40.82,0,65.61
4.85,59.32,74.9,4.51,44.9,1,66.59
1.23,88.98,83.89,4.04,55.52,0,66.82
1.97,67.51,61.78,6.17,41.67,1,60.27
1.28,52.89,90.33,4.46,77.88,1,58.03
6.73,98.46,69.32,7.74,65.58,0,79.18
3.83,94.19,48.69,8.57,72.89,1,67.73
5.58,96.39,78.27,6.17,50.48,1,79.84
9.17,99.75,83.63,5.29,57.76,1,92.67
3.24,58.69,57.42,6.17,79.83,1,69.16
4.69,69.81,87.14,7.62,97.92,0,80.33
7.8,87.91,89.84,4.05,43.03,1,81.06
3.06,84.8,55.23,6.95,93.42,1,74.97
1.69,57.69,94.09,7.07,74.61,0,71.68
3.61,90.79,47.74,7.19,73.84,1,72.81
2.45,61.22,51.11,5.21,70.02,1,57.73
9.37,61.19,50.13,7.57,44.16,1,68.55
8.27,76.85,89.17,4.46,45.39,1,77.42
6.7,79.65,75.99,5.0,76.05,0,71.97
8.84,79.0,48.37,8.39,60.46,1,81.13
8.23,54.57,64.22,7.69,95.04,0,84.52
2.68,93.87,73.84,4.07,64.4,1,76.48
9.03,63.28,44.59,5.24,48.6,1,71.37
5.85,56.48,88.53,5.07,82.88,1,83.61
8.27,94.44,84.2,5.35,57.6,0,83.38
9.06,97.78,67.79,5.24,71.53,1,81.9
3.86,93.11,93.19,4.31,81.87,1,85.04
1.99,90.48,62.98,6.29,94.02,0,70.33
3.05,82.76,94.13,7.66,87.53,0,82.18
4.84,77.54,76.74,7.03,80.58,0,78.66
8.36,54.35,74.91,7.36,80.78,0,82.45
8.75,70.42,49.13,4.41,96.76,1,81.4
1.06,68.63,88.51,8.76,57.75,1,76.34
5.6,62.99,63.51,8.19,40.07,1,71.29
4.76,86.17,48.92,8.03,56.32,1,72.12
3.0,74.79,40.69,8.11,53.07,0,58.89
2.08,54.05,70.79,8.66,79.71,1,65.89
4.04,61.01,69.01,6.72,78.02,1,73.26
9.49,84.16,79.56,5.0,75.61,1,83.66
3.91,53.81,88.96,7.08,40.97,1,74.66
5.67,92.56,44.37,7.71,83.73,0,67.57
7.33,74.76,80.23,7.69,59.41,1,84.94
4.27,74.03,50.31,6.61,79.9,1,63.61
9.75,79.62,87.2,4.34,73.39,1,92.55
9.66,91.23,85.05,5.86,60.56,0,89.9
3.27,67.39,69.74,8.6,48.07,0,59.79
5.48,83.9,79.06,6.92,45.67,1,79.06
3.71,78.29,57.29,6.69,89.89,1,68.19
3.56,63.35,65.91,5.34,95.1,1,72.46
1.33,93.93,85.19,5.84,78.99,0,72.55
6.49,89.87,65.26,8.48,46.21,1,80.26
5.52,82.92,59.68,7.33,64.12,1,70.07
1.46,92.53,67.18,7.94,83.74,1,69.79
3.51,93.36,85.55,6.27,86.79,0,77.98
9.17,85.42,58.44,7.15,47.09,1,83.69
3.16,91.85,49.56,5.24,40.0,1,66.18
2.3,84.87,79.16,7.53,82.73,0,70.92
5.41,84.01,85.43,6.14,61.4,0,82.94
9.87,80.93,45.54,6.21,55.27,1,67.73
3.18,87.64,53.19,7.25,40.77,0,56.3
7.05,57.93,47.81,8.68,72.42,1,67.99
7.85,94.04,59.14,4.32,91.07,0,73.87
3.14,93.59,64.77,8.12,97.46,0,69.7
7.55,51.46,81.19,5.46,73.94,1,80.53
4.31,91.29,75.81,6.22,70.87,1,76.67
6.69,56.44,74.15,4.11,45.1,1,70.42
6.7,66.76,59.38,5.51,72.93,0,72.85
5.82,87.18,86.28,6.51,62.8,1,84.44
1.81,58.04,65.92,4.28,76.43,1,61.73
8.52,90.9,93.85,6.46,63.32,1,93.23
3.89,91.61,74.88,8.64,54.42,1,72.61
2.68,75.37,46.94,4.53,45.7,1,58.08
1.37,50.32,77.19,7.82,58.9,0,58.71
6.32,64.35,57.88,6.05,45.8,1,63.12
7.1,80.85,77.75,7.28,50.61,1,80.92
1.15,99.06,43.83,5.3,99.24,0,57.21
5.61,81.59,49.62,4.8,66.65,1,65.23
3.04,62.99,87.07,4.8,71.91,1,72.03
6.81,81.7,52.49,4.35,92.42,1,75.51
2.57,77.0,86.04,4.93,99.73,1,72.7
7.22,88.99,55.36,7.32,74.96,1,77.5
4.48,55.35,75.36,8.41,88.75,0,78.87
9.43,88.05,78.18,8.07,59.62,0,91.58
2.24,77.06,68.2,7.43,58.34,0,73.07
4.07,98.15,56.79,4.55,64.16,1,72.85
2.02,67.09,51.7,5.45,80.35,0,61.36
9.32,81.63,41.83,5.55,80.93,1,71.18
8.9,96.6,56.72,5.25,58.91,1,83.18
3.32,55.13,75.92,6.58,47.99,1,64.75
6.94,96.86,91.61,6.68,77.94,0,88.29
8.35,84.39,87.92,5.78,47.7,0,85.04
